,MKT_CARRIER_FL_NUM,DEP_TIME,TAXI_OUT,AIR_TIME,TAXI_IN,ARR_TIME,ACTUAL_ELAPSED_TIME
0,5888,1851.0,44.0,74.0,4.0,2053.0,122.0
1,6276,1146.0,13.0,71.0,8.0,1318.0,92.0
2,4598,2016.0,8.0,57.0,3.0,2124.0,68.0
3,4761,1350.0,10.0,63.0,2.0,1505.0,75.0
4,5162,916.0,6.0,57.0,4.0,1023.0,67.0
5,5684,602.0,17.0,57.0,6.0,722.0,80.0
6,6152,1624.0,6.0,62.0,4.0,1736.0,72.0
7,1679,1604.0,5.0,66.0,2.0,1717.0,73.0
8,3479,1225.0,8.0,73.0,19.0,1405.0,100.0
9,4069,740.0,9.0,71.0,4.0,904.0,84.0
10,4905,1022.0,11.0,71.0,3.0,1147.0,85.0
11,4918,2035.0,7.0,70.0,5.0,2157.0,82.0
12,5144,2246.0,11.0,66.0,3.0,6.0,80.0
13,5722,1815.0,6.0,65.0,3.0,1929.0,74.0
14,3719,1230.0,8.0,36.0,3.0,1317.0,47.0
15,4863,629.0,9.0,35.0,2.0,715.0,46.0
16,4924,2013.0,8.0,39.0,2.0,2102.0,49.0
17,5321,1746.0,13.0,35.0,4.0,1838.0,52.0
18,4618,1045.0,8.0,101.0,3.0,1237.0,112.0
19,5992,1649.0,8.0,113.0,4.0,1754.0,125.0
20,1765,1256.0,11.0,82.0,7.0,1436.0,100.0
21,4887,657.0,9.0,114.0,3.0,903.0,126.0
22,4917,1751.0,8.0,118.0,17.0,2014.0,143.0
23,5068,1055.0,11.0,119.0,4.0,1309.0,134.0
24,745,1057.0,10.0,139.0,3.0,1329.0,152.0
25,3316,1937.0,7.0,137.0,3.0,2204.0,147.0
26,1537,1854.0,9.0,94.0,8.0,2045.0,111.0
27,6316,1138.0,10.0,194.0,4.0,1706.0,208.0
28,1899,926.0,8.0,127.0,8.0,1249.0,143.0
29,1970,1338.0,11.0,116.0,13.0,1658.0,140.0
30,3942,1514.0,11.0,117.0,6.0,1828.0,134.0
31,4911,2000.0,14.0,116.0,5.0,2315.0,135.0
32,5390,616.0,9.0,113.0,5.0,923.0,127.0
33,4495,1517.0,15.0,86.0,4.0,1702.0,105.0
34,5236,1024.0,11.0,90.0,5.0,1210.0,106.0
35,6173,0.0,0.0,0.0,0.0,0.0,0.0
36,1997,1859.0,11.0,99.0,9.0,2058.0,119.0
37,6117,616.0,14.0,105.0,4.0,819.0,123.0
38,3780,543.0,7.0,0.0,4.0,1236.0,0.0
39,6215,1505.0,9.0,210.0,4.0,2048.0,223.0
40,3735,757.0,12.0,74.0,17.0,940.0,103.0
41,4230,1652.0,6.0,72.0,6.0,1816.0,84.0
42,5263,2023.0,7.0,71.0,2.0,2143.0,80.0
43,5845,1227.0,5.0,70.0,2.0,1344.0,77.0
44,4802,1124.0,8.0,91.0,4.0,1307.0,103.0
45,4093,1041.0,11.0,120.0,5.0,1357.0,136.0
46,5830,604.0,10.0,118.0,9.0,921.0,137.0
47,4561,2117.0,15.0,109.0,3.0,2324.0,127.0
48,5377,1324.0,9.0,105.0,2.0,1520.0,116.0
49,2068,1313.0,8.0,77.0,4.0,1442.0,89.0
