FLIGHT_ID,MKT_UNIQUE_CARRIER,MKT_CARRIER_FL_NUM,FL_DATE,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,ORIGIN,DEST,DEP_TIME_BLK,ARR_TIME_BLK,CRS_ELAPSED_TIME,DISTANCE,DEP_DEL15,DEP_DELAY_NEW,ARR_DEL15,ARR_DELAY_NEW,TOTAL_DEELAY,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,CANCELLED,CANCELLATION_CODE
0,WN,5888,1/1/20,1,1,3,ONT,SFO,18,19,95,363,1,41,1,68,109,8,0,27,0,33,0,0
1,WN,6276,1/1/20,1,1,3,ONT,SFO,11,13,90,363,0,0,0,0,0,0,0,0,0,0,0,0
2,WN,4598,1/1/20,1,1,3,ONT,SJC,20,21,70,333,0,0,0,0,0,0,0,0,0,0,0,0
3,WN,4761,1/1/20,1,1,3,ONT,SJC,13,14,75,333,0,10,0,10,20,0,0,0,0,0,0,0
4,WN,5162,1/1/20,1,1,3,ONT,SJC,9,10,80,333,0,1,0,0,1,0,0,0,0,0,0,0
5,WN,5684,1/1/20,1,1,3,ONT,SJC,6,7,75,333,0,2,0,7,9,0,0,0,0,0,0,0
6,WN,6152,1/1/20,1,1,3,ONT,SJC,16,17,80,333,0,4,0,0,4,0,0,0,0,0,0,0
7,WN,1679,1/1/20,1,1,3,ONT,SMF,15,16,85,390,1,59,1,47,106,0,0,0,7,40,0,0
8,WN,3479,1/1/20,1,1,3,ONT,SMF,12,13,85,390,0,0,0,10,10,0,0,0,0,0,0,0
9,WN,4069,1/1/20,1,1,3,ONT,SMF,7,9,80,390,0,0,0,4,4,0,0,0,0,0,0,0
10,WN,4905,1/1/20,1,1,3,ONT,SMF,10,11,90,390,0,0,0,0,0,0,0,0,0,0,0,0
11,WN,4918,1/1/20,1,1,3,ONT,SMF,20,21,75,390,0,0,0,2,2,0,0,0,0,0,0,0
