,Q1 Flights,Q1 Percentage,Q2 Flights,Q2 Percentage
American Airlines,515851,25.98833310746509,219708,28.874222316845266
Delta Air Lines,429699,21.648035475252815,121733,15.998259987331027
United Airlines,389277,19.61159394296936,110141,14.474828955703273
Southwest Airlines,328040,16.52650240587466,203537,26.74901500038112
Alaska Airlines,106050,5.34274960414281,39030,5.129357588373982
JetBlue,73893,3.7226949221963666,15015,1.9732847601700059
Spirit Airlines,54570,2.7492111824429335,11348,1.4913643328943875
Frontier Airlines,36781,1.8530096481845986,10353,1.3606005409284097
Allegiant Air,28242,1.422818805471016,24918,3.274745897696717
Hawaiian Airlines,22530,1.1350509060003537,5131,0.6743206196758109
